name,rating,benefits,categories,key_points,description
Potassium,Average,,pH Adjuster/Stabilizer,,Important element in diet that is present in such fruits as bananas and citrus.
Potassium Laurate,Average,,"Cleansing Agent, Emulsifier","Cleanser, emulsifier, and foam-boosting agent | Constituent of soap with potential to be drying, depending on the overall formula | Can be sourced naturally (via plants) or synthetically made | Supplied as a water-soluble powder or paste in its raw material form","Cleansing agent, emulsifier, and foam booster. It’s a constituent of soap that has the potential to be drying on skin—although formulary steps can be taken to avoid this."
PPG-24-Glycereth-24,Average,,Emulsifier,"Glycerin-based ingredient that functions as an emulsifying agent and surfactant | Used in a variety of skin care formulations, including toners, serums, and moisturizers | Colorless to pale yellow liquid in its raw material form | Most of what we know about this ingredient comes from suppliers, as independent research is lacking",Glycerin-based ingredient that functions as an emulsifying agent and surfactant.
Prasterone,Average,Hydration,"Hydration, Humectant",,Manmade form of the hormone dehydroepiandrosterone (DHEA).
Pterocarpus Santalinus,Average,Anti-Aging,"Anti-Aging, Antioxidant, Plant Extracts, Fragrance: Synthetic and Natural, Irritant",Type of tree found native to south India | Used in traditional Ayurvedic medicine | Extract has antioxidant and soothing properties | Oil has volatile fragrance components | Also known as red sandalwood,"Also known as red sandalwood, the benefits of this tree depend on which part of it is being used."
Red 27 Lake,Average,,Coloring Agent/Pigment,,A synthetic coloring agent approved for use in cosmetics.
Red 28,Average,,Coloring Agent/Pigment,,Red 28 is a synthetic coloring agent that uses a combination of colors to create its red hue.
Red 33,Average,,Coloring Agent/Pigment,"Pigment used to add color to makeup, food products, and skin care | Ruled safe in its current use",This pigment adds color to makeup and skin care products and is considered safe as used in this application.
Red 6 Lake,Average,,Coloring Agent/Pigment,"Pigment used to add color to makeup, food products, and skin care | Ruled safe in its current use | Also known as D&C Red 6 Aluminum Lake","Synthetic pigment used to add color to makeup, as well as skin care and food products."
Red 7 Lake,Average,,Coloring Agent/Pigment,An approved synthetic coloring agent | Also known as D&C Red 7 Calcium Lake | Insoluble in water | Subject to batch certification,Red 7 lake is a synthetic coloring agent approved for use in drugs and cosmetics.
Riboflavin,Average,,Antioxidant,,"Also known as vitamin B2, research backing skin benefits for this ingredient are lacking."
Ribose,Average,"Anti-Aging, Hydration","Anti-Aging, Hydration, Plant Extracts",Hydrating plant sugar that can be derived naturally from corn seeds | Conflicting research in terms of its anti-aging abilities | White-to-tan powder in raw material form | Deemed safe by the Cosmetic Ingredient Review in up to 0.05% concentration,Ribose is a hydrating plant sugar with debated anti-aging properties.
Rosa Centifolia,Average,Anti-Aging,"Anti-Aging, Plant Extracts, Antioxidant",,"Also known as the cabbage rose or the Provence rose, this plant can have antioxidant properties."
Rosa Centifolia Flower,Average,Anti-Aging,"Anti-Aging, Plant Extracts, Antioxidant",,Plant with potential antioxidant benefits for skin.
Rosa Centifolia Seed Extract,Average,Anti-Aging,"Anti-Aging, Plant Extracts, Antioxidant",,The seed extract from a plant known as the cabbage rose or the Provence rose. It can have antioxidant properties.
Royal Jelly,Average,Hydration,"Hydration, Humectant, Solvent",,The myriad claims about royal jelly are anecdotal and have no research to substantiate them.
Ruscus Aculeatus,Average,Soothing,"Soothing, Plant Extracts, Antioxidant",,"This shrub, known as butcher's broom, has antioxidant properties."
Ruscus Aculeatus Root Extract,Average,Soothing,"Soothing, Plant Extracts, Antioxidant",,"The root extract of a shrub, known as butcher's broom, that has antioxidant properties."
Sage Extract,Average,,"Plant Extracts, Irritant, Antioxidant",,"Plant extract that contains components that function as antioxidants. There is some potential for sensitivity with sage extracts, but the risk is relatively low at the amounts used in topical skin care products."
Salvia Officinalis,Average,,"Irritant, Plant Extracts, Antioxidant",,"Like all plant extracts, this contains components that function as antioxidants. There is some potential for sensitivity with sage extracts, but the risk is relatively low at the amounts used in topical skincare products."
Salvia Officinalis (Sage) Extract,Average,,"Irritant, Plant Extracts, Antioxidant",,"Plant extract that contains components that function as antioxidants. There is some potential for sensitivity with sage extracts, but the risk is relatively low at the amounts used in topical skin care products."
Santalum Album Seed Extract,Average,,"Fragrance: Synthetic and Natural, Irritant, Antioxidant",,"Latin name for sandalwood extract, which is used in cosmetics as a fragrance. It can have antioxidant properties. It also can be a skin sensitizer."
Saxifraga Sarmentosa Extract,Average,,"Plant Extracts, Antioxidant",,Plant extract with potential antioxidant benefits for skin.
Serenoa Serrulata Extract,Average,Soothing,"Soothing, Plant Extracts, Antioxidant",,Latin name for saw palmetto. There's no research showing topical application of this plant can benefit skin.
Siegesbeckia Orientalis,Average,,Plant Extracts,,Chinese herb (also known as St. Paul's wort) for which there is no research showing that it has any benefit for skin.
Siegesbeckia Orientalis Extract,Average,,Plant Extracts,,Chinese herb (also known as St. Paul's wort) for which there is no research showing that it has any benefit for skin.
Silver Chloride,Average,,Irritant,,An inorganic salt that has no known function in cosmetics.
Slippery Elm Bark,Average,"Soothing, Anti-Aging","Soothing, Anti-Aging, Plant Extracts, Antioxidant",,Plant that can be a good skin-soothing agent but can also be an allergen if used in high amounts.
Sodium Anisate,Average,,Preservative,Sodium salt of p-anisic acid | Used for its preservative properties | Helps extend products’ shelf life | Cosmetics applications use in concentrations between 0.05% and 0.4%,Sodium salt of the plant metabolite p-anisic acid used as a preservative.
Sodium Bicarbonate,Average,,pH Adjuster/Stabilizer,,"A synthetic inorganic salt more commonly known as baking soda. It has many functions in cosmetics, including pH adjuster, buffering agent, and abrasive, such as in face or body scrubs."
Sodium Bisulfite,Average,,"Antioxidant, Irritant",,Used in acid-type permanent waves to alter the shape of hair. It can be a skin sensitizer.
Sodium Chloride,Average,,Texture Enhancer,"More popularly known as common table salt | Functions as a binding agent, thickener, and occasionally an abrasive in cosmetics | A white, crystalline solid | On the FDA’s list of substances Generally Recognized as Safe","Better known as salt, this ingredient is primarily used to thicken skin and hair care formulations. It also functions as a binding agent and sometimes a scrub particle in physical exfoliants."
Sodium Cocoate,Average,,"Cleansing Agent, Emulsifier","Surfactant derived from coconut acid | Also acts as an emulsifying agent | Used in soaps, shampoos and other hygiene products | Potential for moderate skin irritation (formulation dependent)",Surfactant and emulsifier found in bar soaps and other personal care cleansing products.
Sodium Coco Sulfate,Average,,"Cleansing Agent, Emulsifier",Cleansing agent commonly used in rinse-off products | Referred to as a “milder” alternative to sodium lauryl sulfate | Also assists in emulsification and foam creation | Can potentially irritate skin due to its anionic nature,Cleansing agent that also assists in foam creation. Often used as an alternative to sodium lauryl sulfate.
Sodium Formate,Average,,"pH Adjuster/Stabilizer, Preservative",A preservative that helps prolong a product’s shelf life | Helps neutralize and bring balance to a skin care formulation’s pH | Is the salt form of the preservative formic acid | Used in cosmetics and hair care in concentrations of up to .34% | Deemed safe in cosmetic and hair formulations by the Cosmetic Ingredient Review Expert Panel,Preservative and buffering agent used in cosmetic formulations to help prolong shelf life and balance the pH of formulas.
Sodium Hydroxide,Average,,pH Adjuster/Stabilizer,Highly alkaline ingredient | Used in small amounts in cosmetics (such as in exfoliants and cleansers) to adjust pH | Is used in hair and nail products to maintain pH | Also known as lye,"Also known as lye, this ingredient is highly alkaline, meaning it is on the basic side of the pH range (its pH is naturally 13). It is used in small amounts in cosmetics (such as cleansers and exfoliants) adjust their pH."
Sodium Hydroxymethylglycinate,Average,Hydration,"Hydration, Humectant, Preservative",,Amino acid derivative used as a skin-softening agent; can also function as a preservative.
Sodium Lactobionate,Average,,Preservative,,"White, crystalline powder used to synthesize other chemicals. May function as a preservative in..."
Sodium Lauryl Sulfoacetate,Average,,Cleansing Agent,"Cleansing agent noted for its foaming properties | Long history of use in personal care products, with research dating back to the 1940’s | Deemed safe by the Cosmetic Ingredient Review Expert Panel | Raw material form: white powder or flakes",Mild cleansing agent noted for its foaming properties.
Sodium Metabisulfite,Average,,"Preservative, Antioxidant, Irritant","Used as a preservative and stabilizer in cosmetic formulations | Also offers antioxidant properties | In hair care, it acts as a reducing agent that alters the structure of hair | Described as colorless crystals or a white to yellowish crystalline powder in raw material form","Plays a multitasking role as a preservative, stabilizer, and antioxidant."
Sodium Palmate,Average,,"Cleansing Agent, Emulsifier, Texture Enhancer",Surfactant in bar soaps and other skin-cleansers | Increases formulary viscosity | Also plays an emulsifying role | Derived from palm oil,"Surfactant, emulsifier and viscosity-adjusting agent commonly found in bar soaps and other cleansers."
Sodium Palmitate,Average,,"Cleansing Agent, Emulsifier",Sodium salt of palmitic acid | Surfactant + emulsifying and viscosity increasing agent | Ruled safe as used in skin care | Can be drying to skin when formulated in a cleanser | Typical usage in leave-on products is 0.06-4.1%,This sodium salt of palmitic acid can be drying to skin when formulated in a cleanser.
Sodium Palm Kernelate,Average,,"Cleansing Agent, Emulsifier, Texture Enhancer",Surfactant in bar soaps and other skin-cleansers | Plays secondary emulsifier and viscosity-adjusting roles | Derived from palm kernel oil that's treated with sodium hydroxide | Falls in the mid-range for mild-to-harsh surfactants,"Surfactant, emulsifier, and viscosity-adjusting agent commonly found in bar soaps and other cleansers."
Sodium Phosphate,Average,,"Cleansing Agent, Emulsifier, Texture Enhancer",Synthetic phosphorous compound | Has wetting and cleansing properties | Commonly used in blends to keep ingredients mixed | Considered safe as used in cosmetics,"A synthetic wetting agent that has cleansing, thickening and emulsifying properties for skin. Chemically classified as a phosphorous compound."
Sodium Salicylate,Average,,Preservative,,"Salt form of salicylic acid (BHA). Because it is not the acid form of salicylate (i.e., salicylic..."
Sodium Stearate,Average,,"Emulsifier, Texture Enhancer","Cleansing/emulsifying agent | Can be used to adjust the viscosity and stiffness of a formulation | May also lend itself waterproofing qualities | Often used in solid-style products such as stick-based sunscreens, bar soaps, and waxes | May potentially contribute to a pore-clogging residue on skin (depending on the overall formula)",Cleansing/emulsifying agent that can also be used to adjust the viscosity and stiffness of cosmetic formulations. It might contribute to a pore-clogging residue on skin.
Sodium Sulfite,Average,,"Irritant, Preservative",,"Reducing agent that alters the structure of hair. It can also be used as a preservative in cosmetic formulations, and can be a skin sensitizer."
Solanum Lycopersicum Extract,Average,,"Plant Extracts, Antioxidant, Irritant",,Extract that has weak antioxidant properties. May be a potential skin sensitizer.
Sorbitan Oleate Decylglucoside Crosspolymer,Average,,"Cleansing Agent, Emulsifier","Surfactant with cleansing, emulsifying, and foaming properties | Can also be used to solubilize fragrance ingredients | May be sourced naturally (via corn, sugar or olive oil) or synthetically created | Used in shampoos, body washes, hair gels, after shaves, lotions, deodorants, etc.","Surfactant with cleansing, emulsifying, and foaming properties. Can also be used to solubilize fragrance ingredients in a formulation."
St. John's Wort,Average,,"Plant Extracts, Antioxidant, Irritant",,Contains several components that are harmful to skin in the presence of sunlight.
Succinoglycan,Average,,"Emulsifier, Texture Enhancer",An exopolysaccharide derived from soil bacteria | High molecular weight carbohydrate infrequently used in cosmetics | Has emulsifying and texture-enhancing properties | Research is also exploring its use in various medical fields,"A natural polysaccharide derived from soil bacteria. Not widely used in cosmetics, but can help enhance texture and help emulsify."
Sugarcane Extract,Average,Hydration,"Hydration, Plant Extracts, Humectant",,"Ingredients like sugarcane extract, fruit extracts, mixed fruit extracts, and milk solids may claim an association with AHAs, but they are not the same thing nor do they have the same beneficial effect on skin."
Talc,Average,Oil Control,"Oil Control, Absorbent, Texture Enhancer, Occlusive/Opacifying Agent","A natural mineral composed of magnesium, hydrogen, oxygen and silicon | Serves as an absorbent in skin care | Requires a specific screening process for safety","Naturally occurring mineral composed of magnesium, hydrogen, oxygen, and silicon which combine to form what's known as anhydrous (contains no water) magnesium silicate."
Tallow,Average,Hydration,"Hydration, Occlusive/Opacifying Agent",Rendered beef or mutton fat | Long used as a multi-purpose oil | Rich in triglycerides | Lacking in evidence behind skin healing claims | Pure tallow can irritate skin via barrier damage,This rendered animal fat has moisturizing properties but also has the potential to irritate skin.
Tanacetum Parthenium (Feverfew),Average,,"Plant Extracts, Irritant, Antioxidant",,"Can be very soothing or potentially sensitizing to skin, depending on which components of the plant are included."
TBHQ,Average,,"Antioxidant, Preservative",Derivative of hydroquinone that does not have discoloration fight properties | Preservative used to enhance the stability of formulas | Common food additive | Ruled safe as used in cosmetics | White to light tan crystalline solid in its raw form,This derivative of hydroquinone is used as a cosmetic preservative and has been ruled safe in its current use.
TEA,Average,,"pH Adjuster/Stabilizer, Emulsifier, Cleansing Agent",,"Used in cosmetics as a pH balancer. Like all amines, it has the potential for creating nitrosamines."
Thiamine HCL,Average,Anti-Aging,"Anti-Aging, Antioxidant",,Vitamin B1. There is no research showing this to be effective when applied topically on skin.
Thiodipropionic Acid,Average,Anti-Aging,"Anti-Aging, Antioxidant",,"Acid-based synthetic antioxidant. There is no research pertaining to its benefit for skin, but in theory, and when stably packaged, it should exert an antioxidant effect when applied topically."
Thyme Extract,Average,,"Irritant, Antioxidant, Plant Extracts",,Extract derived from the leaf or flower of the thyme plant. It can have potent antioxidant properties but may also cause skin sensitivity due to fragrant components.
Thymus Hydrolysate,Average,Hydration,"Hydration, Humectant",,Has hydrating properties for skin.
Thymus Serpillum Extract,Average,,"Irritant, Plant Extracts, Antioxidant",,Extract of wild thyme.
Thymus Vulgaris,Average,,"Irritant, Plant Extracts, Antioxidant",,Derived from the leaf or flower of the thyme plant. It can have potent antioxidant properties but may also cause skin sensitivity due to fragrant components.
Thymus Vulgaris (Thyme) Extract,Average,,"Antioxidant, Irritant, Plant Extracts",,Extract derived from the leaf or flower of the thyme plant. It can have potent antioxidant properties but may also cause skin sensitivity due to fragrant components.
Tomato Extract,Average,,"Irritant, Plant Extracts, Antioxidant",,Extract that has weak antioxidant properties. May be a potential skin sensitizer.
Triethanolamine,Average,,"pH Adjuster/Stabilizer, Emulsifier, Cleansing Agent",,"Used in cosmetics as a pH balancer. Like all amines, it has the potential for creating nitrosamines."
Tromethamine,Average,,pH Adjuster/Stabilizer,"Triol, or alcohol with three hydroxyl groups along with one amino group | Used in skin care as a pH adjuster and as a neutralizing agent for fatty acids in a formulation | Can reduce a formula’s chance of irritation | Can function as a buffering agent in alkaline range of 7-9 | CIR Expert Panel deemed safe for use in cosmetics at current levels",pH adjusting ingredient used to help neutralize acidic formulas and ingredients.
Ulmus Fulva Bark Extract,Average,"Soothing, Anti-Aging","Soothing, Anti-Aging, Plant Extracts, Antioxidant",,Plant that can be a good skin-soothing agent but can also be an allergen if used in high amounts.
Ultramarines,Average,,Coloring Agent/Pigment,,Inorganic pigments (of various colors) permanently listed by the FDA for external use only.
Ulva Lactuca Extract,Average,"Soothing, Anti-Aging","Soothing, Anti-Aging, Plant Extracts, Antioxidant",,"Extract from the plant known as sea lettuce, it has some soothing and antioxidant properties for skin."
Urtica Dioica,Average,"Hydration, Soothing","Hydration, Soothing, Plant Extracts, Antioxidant, Humectant",,Plant extract that may have soothing properties.
Urtica Dioica (Nettle) Extract,Average,"Hydration, Soothing","Hydration, Soothing, Plant Extracts, Antioxidant, Humectant",,Plant extract that may have soothing properties.
Vegetable Collagen,Average,,Plant Extracts,"Refers to plant-based ingredients intended to mimic animal collagen | Not recognized as an official INCI ingredient but blanket term for various ingredient blends | Benefits depend on the actual mix of ingredients (don’t assume pro-collagen results) | If going the vegetable/vegan collagen oral supplement route, consult your physician","A term loosely interpreted by skin care brands, referring to plant-based ingredients that are intended to mimic animal-sourced collagen."
Viola Tricolor Extract,Average,Anti-Aging,"Anti-Aging, Plant Extracts, Antioxidant",,Plant extract for which there is a small amount of research showing it has skin soothing and antioxidant properties.
Vitamin B1,Average,Anti-Aging,"Anti-Aging, Antioxidant",,There is no research showing this to be effective when applied topically on skin.
Vitamin B2,Average,,Antioxidant,,"Also known as riboflavin, research backing skin benefits for this ingredient are lacking."
Vitamin B6,Average,Anti-Aging,"Anti-Aging, Antioxidant",,There is no research showing it to have benefit for skin.
Vitamin H,Average,Anti-Aging,"Anti-Aging, Antioxidant",,"Also known as biotin, this water-soluble vitamin produced in the body is considered part of the B complex group of vitamins."
Walnut Extract,Average,Anti-Aging,"Anti-Aging, Plant Extracts, Antioxidant",,Extract that can have antioxidant properties.
White Nettle,Average,Anti-Aging,"Anti-Aging, Plant Extracts, Antioxidant, Irritant",,Contains components that can have both soothing and sensitizing properties.
Yellow 5,Average,,Coloring Agent/Pigment,,Coloring agent/pigment that is used to adjust the hue of cosmetic formulas.
Yellow 5 Lake,Average,,Coloring Agent/Pigment,,"Yellow 5 lake is synthetic coloring agent approved for use in foods, drugs and cosmetics."
Yellow 6 Lake,Average,,Coloring Agent/Pigment,,A pigment that is FDA-approved for use in cosmetics and food products.
Yogurt,Average,"Hydration, Soothing","Hydration, Soothing, Humectant",,There's limited research showing that yogurt is effective when applied topically.
Yucca Extract,Average,Soothing,"Soothing, Plant Extracts, Antioxidant",,Plant extract that can have soothing benefits.
Yucca Schidigera,Average,Soothing,"Soothing, Plant Extracts, Antioxidant",,"The Latin name for yucca, this plant can have antioxidant and soothing benefits for skin."
Yucca Schidigera Leaf/Root/Stem Extract,Average,Soothing,"Soothing, Plant Extracts, Antioxidant",,Plant extract that can have soothing benefits.
Zanthoxylum Bungeanum Fruit Oil,Average,,"Irritant, Plant Extracts, Antioxidant",Also known as prickly ash oil | Has antioxidant benefits | Also has skin-calming abilities | Contains skin sensitizing compounds,This oil derived from the prickly ash plant has some beneficial properties but can also irritate skin.
Zea Mays (Corn) Kernel Meal,Average,,Exfoliant,"The independent Cosmetic Ingredient Review panel has ruled Zea mays kernel meal safe as currently used in cosmetics, where its maximum concentration of use is 3%.","This ingredient, also known as cornmeal, is used in cosmetics as a bulking agent and physical exfoliant"
Zingiberaceae,Average,,"Irritant, Plant Extracts, Antioxidant","Plant family AKA the ginger family | Applied topically and ingested | Extracts can provide anti-aging, antioxidant-based benefits | Oils can cause skin sensitivity","Zingiberaceae is a family of flowering plants (AKA the ginger family) that produces an array of antioxidant-rich skin care ingredients, some of which can be sensitizing."
Zingiber Officinale Roscoe,Average,Soothing,"Soothing, Plant Extracts, Irritant",,"The extract form of this plant, also known as ginger, is generally considered non-volatile (non-irritating) while the oil form contains over 50 such components with potential to aggravate skin."
Acetic Acid,Bad,,"Irritant, pH Adjuster/Stabilizer",Byproduct of fermentation | Main component of vinegar aside from water | Used to adjust skin care products’ pH | Has mild antimicrobial properties | Overuse or misuse can result in skin damage,This type of acid is a major component of vinegar and can cause skin irritation.
Alkyloamides,Bad,,Texture Enhancer,,"Identified on skin care product labels as DEA, triethanolamine (TEA), and monoethanolamine (MEA)."
Amyl Cinnamate,Bad,,"Fragrance: Synthetic and Natural, Irritant",Also known as pentyl cinnamate | Fragrance ingredient also used in food | Studies show it can cause skin irritation | Colorless to pale yellow liquid in its raw form,This fragrance ingredient can cause irritation when applied to skin.
Apricot Kernel,Bad,,"Exfoliant, Plant Extracts",,"Often used as an abrasive agent in so-called ""natural"" scrubs."
Asimina Triloba Fruit Extract,Bad,Hydration,"Hydration, Plant Extracts, Humectant",,"This plant extract, also known as pawpaw, has antioxidant properties but can also irritate skin."
Blue Tansy,Bad,,"Antioxidant, Coloring Agent/Pigment, Fragrance: Synthetic and Natural, Irritant, Plant Extracts","Plant-derived volatile oil AKA Tanacetum annuum oil | Contains fragrant, potentially sensitizing compounds | Has chamazulene, an antioxidant with colorant and fragrant properties | Not yet reviewed by the CIR Expert Panel","A potentially sensitizing, fragrant essential oil used for its colorant, scent, and antioxidant properties."
Calendula Officinalis Flower Oil,Bad,,"Antioxidant, Fragrance: Synthetic and Natural, Plant Extracts","Essential oil taken from the Calendula officinalis, AKA pot marigold, flower | Contains volatile, aromatic skin-sensitizing compounds | Has antioxidant and antimicrobial properties | Used in cosmetics in concentrations between 0.01-0.1%",The volatile oil taken from Calendula officinalis flowers. Contains skin-sensitizing fragrant compounds but also has antioxidant properties.
Cocamide DEA And MEA,Bad,,"Cleansing Agent, Texture Enhancer",,"Both cocamide DEA (diethanolamine) and MEA (monoethanolamine) are widely used ingredients to thicken the water phase of cosmetics, keep ingredients blended, and boost foaming properties..."
Colloidal Sulfur,Bad,Anti-Acne,"Anti-Acne, Irritant","Smaller particles than sulfur, making it more potent | Anti-acne properties help tackle breakouts | Can cause skin irritation and sensitization | Most effective in skin care preparations between 3% and 10%","Possesses anti-acne properties but can also irritate skin when applied topically. Has smaller particles than sulfur, making it more potent."
Diamond Powder,Bad,,"Exfoliant, Irritant",Abrasive mineral (technically a crystallized modification of carbon) | Used in skin care products such as exfoliating cleansers where it provides buffing/scrubbing action | May cause micro tears in skin due to the irregular shape of the particles | Research supporting diamond powder’s use in cosmetics is lacking,Diamond powder is an abrasive mineral used in skin care products such as exfoliating cleansers where it provides buffing/scrubbing action.
Diatomaceous Earth,Bad,,"Exfoliant, Irritant",,Light-colored porous rock composed of the skeletons of minute sea creatures called diatoms.
Diazolidinyl Urea,Bad,,Preservative,,Water-soluble preservative.
Dicalcium Phosphate,Bad,,"Irritant, Occlusive/Opacifying Agent","White powder that can be used to create abrasive formulations (think gritty exfoliating scrubs) | May also be formulated in a non-abrasive way for use as an opacifying agent in makeup | Can inhibit the transfer/smearing of makeup | Popular in oral care products, such as toothpaste.",White powder that can be used to create abrasive formulations (not recommended) or can be formulated in a way that lends opacity to makeup (which is not problematic).
Dimethyl MEA,Bad,,pH Adjuster/Stabilizer,,"Controversial ingredient for skin because research has shown conflicting results. It seems to offer an initial benefit that improves skin firmness, but these results are short-lived and eventually give way to destruction of the substances in skin that help keep it firm."
DMAE,Bad,,pH Adjuster/Stabilizer,"Also known as dimethyl MEA | Research shows it may promote skin firmness | However, results are short lived and can result in destruction of firming skin substances | Requires a pH of 10 to remain efficacy and stability","Controversial ingredient for skin because research has shown conflicting results. It seems to offer an initial benefit that improves skin firmness, but these results are short-lived and eventually give way to destruction of the substances in skin that help keep it firm."
DMDM Hydantoin,Bad,,Preservative,,Formaldehyde-releasing preservative.
Farnesol,Bad,,"Fragrance: Synthetic and Natural, Plant Extracts, Antioxidant",,Extract of plants that is used in cosmetics primarily for fragrance.
