Acetyl Tetrapeptide-11,Best,"Anti-Aging, Hydration","Anti-Aging, Hydration, Peptides",A synthetic peptide | Helps skin become healthier by interacting with a signaling protein in skin’s surface | Assists in keeping skin's architecture firm,"A synthetic peptide created by the acetylation (a chemical reaction that joins a stronger substance with a weaker one) of tetrapeptide-11, which is made up of amino acids leucine, proline and tyrosine. Acetyl tetrapeptide-11 helps skin become healthier by interacting with a signaling protein in skin’s surface that addresses how it looks and feels."
Acetyl Tetrapeptide-5,Best,"Anti-Aging, Soothing","Anti-Aging, Soothing, Peptides, Humectant",,"A synthetic peptide that has calming, smoothing, hydrating, and firmness-enhancing benefits when applied to skin. Its calming properties are believed to reduce undereye puffiness due to fluid accumulation, such as from allergies (which is not the same as undereye bags that occur from fat pads beneath the skin slipping out of place).This peptide is also believed to interrupt a process in skin known as glycation, which can cause skin’s supportive elements to weaken, giving way to wrinkles and loss of firmness. Acetyl tetrapeptide-5 seems to step in and help skin maintain a smooth resilience that results in a more youthful look."
Acetyl Tetrapeptide-9,Best,Anti-Aging,"Anti-Aging, Peptides, Humectant",“Signal peptide” with anti-aging benefits | Supports skin’s firmness and elasticity | Touted for hydrating/plumping effects | Lab-engineered (synthetic),"Acetyl tetrapeptide-9 is a “signal peptide” used in skin care for its anti-aging benefits. It works by supporting key skin components like collagen, glycosaminoglycans (GAGs), and lumican, which are essential for maintaining skin structure and elasticity. Studies indicate topical application improves skin density and firmness, for a smoother, more taut appearance. This peptide is also touted for its hydrating and plumping effects. It is lab-engineered through a process known as acetylation (a chemical reaction that involves transforming tetrapeptide-9 into an effective agent for skin). Tetrapeptide-9 is composed of the amino acids aspartic acid, glutamine, histidine and valine. Acetyl tetrapeptide-9 may be found in skin care products under trade names such as Dermican®, Replexium®, and Cosroma® AT-9. The recommended use level ranges from 0.0015%–0.0025% when supplied as a powder, and 1.3–2.1% when supplied in a liquid blend (which equates to the recommended concentration range of the powder form). Note that use levels vary based on the supplier and how much peptide (in parts per million) is added to their blends."
Acetyl Zingerone,Best,,"Antioxidant, Plant Extracts, Chelating Agent","Potent, ginger-derived antioxidant | Helps offset numerous visible signs of environmental damage | Very good stability in the presence of UV light | Plays a role in protecting skin from airborne pollutants","Acetyl zingerone is a ginger-derived antioxidant that served as an “omni-antioxidant” because it’s able to scavenge and neutralize a broad range of free radicals known to impair skin’s health and appearance. Research on human skin and skin cells has shown acetyl zingerone helps offset the negative impacts of environmental damage, helps visibly repair, and nurtures skin’s ability to maintain the integrity of the extracellular matrix for a healthy appearance. It’s particularly good at soothing UV-exposed skin, interrupting the cascade of damage it causes on and within skin’s surface layers. This antioxidant has excellent photostability (remains stable for longer when exposed to UV light) and also plays a role in diminishing mottled pigmentation due to exposures across the visible light spectrum, meaning it helps protect skin from visible (blue or HEV) light exposure. Acetyl zingerone also delivers anti-pollution benefits, including from “urban dust” (small particulate matter that often contains collagen-degrading heavy metals). It also helps interrupt the damage certain enzymes in skin can cause to our collagen, thus preserving a youthful look for longer and helping to reduce lines and wrinkles. Usage levels in cosmetics range from 0.5¬–1% if the primary goal is antioxidant benefit. Acetyl zingerone is also a chelating agent when used at level of 0.1–0.2%. Note that despite being ginger-derived, this ingredient is considered synthetic since its molecular structure incorporates elements from a compound in ginger known as zingerone and the plant-derived soothing agent curcumin. Essentially, it’s a lab-designed antioxidant that offers more potency and stability than what’s found in the ginger plant."
Achillea Millefolium Extract,Best,"Anti-Aging, Soothing","Anti-Aging, Soothing, Antioxidant, Plant Extracts",Has antioxidant properties | Can rejuvenate skin’s surface | Has calming abilities,"Achillea millefolium extract, more commonly known as yarrow extract, is the extract from the whole yarrow plant, a type of flowering herb native to North America and parts of Europe and Asia. It’s a rich source of antioxidant flavonoids, phenolics, and various fatty acids that contribute to healthier-looking skin. Long used in European folk medicine (particularly for internal ailments), research is diving deeper into Achillea millefolium extract’s topical benefit for skin, and the results are highly encouraging. Studies show this extract has antioxidant properties that can rejuvenate skin’s surface, leading to a more youthful appearance. Of particular interest is research showing that Achillea millefolium extract can fight factors that lead to visible skin irritation – essentially, that it is a calming ingredient. Research has also shown that various compounds in this plant’s oil, particularly linalyl acetate, play a role in fading the appearance of dark spots; however, this compound is also a source of fragrance and can irritate skin. For this reason, we prefer the extract form of this plant instead of the oil. The independent Cosmetic Ingredient Review has ruled that Achillea millefolium extract is safe as used in cosmetics at its current concentrations, which range from 0.000005-0.04%. The bioavailability of this extract is improved when added to a glycol base."
Actinidia Chinensis (Kiwi) Fruit Extract,Best,Anti-Aging,"Anti-Aging, Antioxidant, Plant Extracts",Excellent source of antioxidants | Defends against effect of pollutants | Good source of lutein,"Actinidia chinensis (kiwi) fruit extract is an excellent source of antioxidants for skin, including vitamin C and several polyphenols. The antioxidants in kiwi can help defend skin from the visible effects of airborne pollutants. Kiwi fruit is also a good source of the carotenoid antioxidant lutein."
Active Ingredient,Best,"Anti-Aging, Anti-Acne, Dark Spot Fading","Anti-Aging, Anti-Acne, Dark Spot Fading",Regulated ingredients approved to perform a specific drug- or drug-like skin care function | Listed with their concentration and a short description of how they work | Must also be accompanied by instructions detailing how to apply | Examples include benzoyl peroxide and salicylic acid for acne,"The United States Food and Drug Administration defines an active ingredient as “any component that provides pharmacological activity or other direct effect in the diagnosis, cure, mitigation, treatment, or prevention of disease, or to affect the structure or any function of the body of man or animals.” In skin care, actives are indicated on the product’s label and must be approved to perform a specific drug- or drug-like function. Examples include titanium dioxide and other UV filters for sun protection and benzoyl peroxide or salicylic acid for acne. In essence, these are regulated ingredients that have active functionality to prevent, heal or improve a specific present or future (think sunburn) condition. Active ingredients are listed with their concentration and a short description of how they work in a product. Active ingredients must also be accompanied by instructions detailing how and how often the product that contains them should be applied. The “inactive” ingredients that make up the rest of a skin care formulas aren’t really inactive per se, as they provide support for the active ingredient or lend cosmetic functions to the formula. Additionally, you may hear someone refer to powerful ingredients in their skin care products as “active” or “bio-active”—however this is a subjective and interpretational way of describing ingredient efficacy or potency. This verbiage is not the same thing as the regulated term. Note: Outside of the U.S., definitions of active ingredients vary by each country’s regulatory criteria."
Adansonia Digitata Seed Extract,Best,"Anti-Aging, Hydration, Soothing","Anti-Aging, Hydration, Soothing, Antioxidant, Emollient, Plant Extracts",Plant extract from the baobab tree indigenous to Africa | Rich in skin-nourishing amino acids and fatty acids | Contains phenolic and flavonoid compounds that exhibit strong antioxidant benefits | Noted in research for skin-soothing effects,"Adansonia digitata seed extract comes from the baobab tree indigenous to Africa. Various parts of this tree are used for nutritional, medicinal and cosmetic purposes. Of note, Adansonia digitata seeds are rich in skin-nourishing amino acids and fatty acids, as well as phenolic and flavonoid compounds that exhibit strong antioxidant benefits to protect skin against environmental stressors. As such, Adansonia digitata seed extract can be considered as an anti-aging ingredient. Studies also indicate that Adansonia digitata extracts deliver skin-calming and redness reducing effects. The seed oil form of this ingredient is particularly popular for dry, sensitive skin thanks to its hydrating and soothing benefits. The water-soluble hydrolyzed form of Adansonia digitata seed extract can be found in hair care products, where it’s typically used in a blend at 3%. In both cases, it’s noted for conditioning properties. While the Cosmetic Ingredient Review Expert Panel has not officially conducted a safety assessment for Adansonia digitata seed extract, they have for Adansonia digitata seed oil, which was deemed safe for use in cosmetics. There are no known safety concerns at the time of this writing."
Adansonia Digitata Seed Oil,Best,"Anti-Aging, Hydration, Soothing","Anti-Aging, Hydration, Soothing, Antioxidant, Emollient, Plant Extracts",Seed oil from the Adansonia digitata (AKA baobab) tree | High fatty acid content that helps hydrate and soothe | Phenols present assist in anti-aging antioxidant benefits | CIR Expert Panel concluded it’s safe for use in cosmetics,"Adansonia digitata seed oil, AKA Baobab seed oil, is a natural, emollient skin care ingredient taken from the seeds of the Adansonia digitata tree, more commonly referred to as the baobab tree. This seed oil has a rich composition that includes fatty acids and phenolic compounds. Palmitic, oleic, and linoleic acid account for most of Adansonia digitata seed oil’s fatty acid content. They naturally occur in the human body, with linoleic acid being the most abundant fatty acid found within the epidermis (skin needs linoleic acid to make ceramides). When applied topically to skin, these ingredients help soothe, smooth and hydrate skin. Phenolic compounds in Adansonia digitata seed oil lend themselves to the skin care ingredient’s antioxidant properties. Phenolic compounds assist in protecting skin from environmental stressors that can lead to signs of extrinsic aging, like fine lines and wrinkles. As a raw material, this skin care ingredient is a pale yellow oil. An analysis of cosmetics products concluded that Adansonia digitata seed oil is used in percentages up to 0.01%, most often in leave-on formulas; however, larger amounts may be used if desired. The Cosmetic Ingredient Review Expert Panel concluded that Adansonia digitata seed oil is safe for use in cosmetics."
Adenosine,Best,Soothing,"Soothing, Plant Extracts",Helps improve the visible appearance of wrinkles | Has soothing properties | Also smooths skin's surface,"Adenosine is a water-soluble yeast-derived ingredient that functions as a good soothing and skin-restoring agent. It has proven anti-wrinkle benefits and is a safe, beneficial ingredient all skin types can use. Studies also indicate strong potential for soothing properties. One of the particularly exceptional qualities of adenosine is that it’s a natural component of the body and its receptors have specifically been identified in skin cells, allowing for a direct connection and impressive effectiveness when applied topically. In one study (conducted by L’Oreal) adenosine showed efficacy in as low as 0.1% concentration for improving deep wrinkles in the periorbital area (i.e. crow’s feet) as well as glabellar frown lines (known as the 11s between brows). In 2020, the Expert Panel for Cosmetic Ingredient Safety concluded that adenosine was safe in concentrations of up to 1% in leave on skin care products. Adenosine is described as a white, odorless, crystalline powder in its raw form."
Adenosine Phosphate,Best,Soothing,"Soothing, Antioxidant",,"A skin-soothing and restoring ingredient that's structurally similar to adenosine triphosphate. It's sometimes referred to as adenosine monophosphate, or AMP. Applied to skin, AMP helps create pathways within skin's surface that assist with energy transport. This can visibly revitalize tired-looking, stressed skin."
Adenosine Triphosphate,Best,"Soothing, Anti-Aging","Soothing, Anti-Aging, Antioxidant",Also called ATP | Present in all living cells | Soothing ingredient and antioxidant | Provides energy for numerous body functions | Ruled safe as used in cosmetics,"Adenosine triphosphate, also referred to by its initials ATP, is a type of molecule found within the cells of all living tissue. It is a nucleotide, which means it is a combination of a nitrogenous base (adenine), a sugar (ribose), and a phosphate (triphosphate). In the human body, ATP provides energy to support numerous functions, including muscle contraction and the synthesis of chemicals the body requires to maintain health. In skin care products, adenosine triphosphate provides soothing benefits. Since it’s also an antioxidant, it helps fight free-radical damage that can cause signs of aging. There is also mounting evidence that topically applied ATP can fight inflammation, in part because the body (including skin’s uppermost layers) has adenosine receptors. The independent Cosmetic Ingredient Review panel has ruled adenosine triphosphate safe in its current practices and usages. The typical range of adenosine triphosphate used in cosmetics is typically 0.1–0.5% when part of a blend."
AHA,Best,"Anti-Aging, Dark Spot Fading, Evens Skin Tone, Hydration","Anti-Aging, Dark Spot Fading, Evens Skin Tone, Hydration, Exfoliant, Humectant",AKA alpha hydroxy acid | Exfoliates skin and improves visible signs of aging | Particularly suited for dry skin and an uneven skin tone | Includes glycolic and lactic acids,"Acronym for alpha hydroxy acid. AHAs are derived naturally from various plant sources and from milk, but 99% of the AHAs used in cosmetics are synthetically derived. In low concentrations (less than 3%), AHAs work as water-binding agents. At concentrations greater than 4% and in a base with an acid pH of 3 to 4, these ingredients can exfoliate by breaking down the substance that holds dead skin together. The most effective and well-researched AHAs are glycolic acid and lactic acid. Malic acid, citric acid, and tartaric acid may also be effective. AHAs have been widely used for improving signs of aging, dry skin, and an uneven skin tone. Routine use can lead to younger-looking, remarkably smoother skin. Caution is warranted when it comes to AHA products with very high concentrations (above 10% when used alone or 30% when combined) or when the pH falls below 3, as this increases the risk of irritation. Paula’s Choice avoids these issues with all our AHA exfoliants. There is a vast amount of research that substantially describes how the aging process affects skin and that demonstrates that many of the unwanted changes can be improved by topical application of AHAs, including glycolic and lactic acids. AHA use can result in increased sensitivity to the sun, though wearing a sunscreen daily eliminates this risk. Note: AHAs are of little benefit when added to rinse-off products, as their contact with skin is too brief for them to function as exfoliants or absorb into skin."
Ahnfeltiopsis Concinna Extract,Best,"Hydration, Soothing","Hydration, Soothing, Antioxidant, Plant Extracts, Humectant",,Type of red algae with calming and hydrating properties for skin.
Akebia Quinata (Chocolate Vine) Stem Extract,Best,"Anti-Aging, Soothing","Anti-Aging, Soothing, Antioxidant, Plant Extracts","Stem from a vining plant whose flowers smell like chocolate. | Good source of soothing, redness-reducing antioxidants. | Shown to help protect skin from oxidative damage. | Helps maintain a firm look and feel.","Akebia quinata (chocolate vine) stem extract comes from a large woody wine whose flowers smell like chocolate. Phytochemicals in this east Asian plant include potent antioxidants, primarily isochlorogenic acid C, whose documented soothing properties are even suitable for skin prone to visible redness from rosacea. Other compounds found in the stem of this plant are various triterpene glycosides which research has shown to moisturize skin plus minimize visible effects of free radical damage. These glycosides are also found in licorice, Centella asiatica , ginseng, and shea butter, among other plants. Used topically, it helps to visibly reduce wrinkles by helping to reduce collagen-degrading enzymes known as matrix metalloproteinases. Offsetting this visible damage helps skin maintain a firm look and feel. Usage levels of Akebia quinata (chocolate vine) stem extract are typically 0.5–2% where it’s part of a water-based blend. The actual content of this specific extract is much lower, meaning it doesn’t take much for skin to benefit."
Alaria Esculenta Extract,Best,"Hydration, Anti-Aging, Soothing","Hydration, Anti-Aging, Soothing, Antioxidant, Plant Extracts, Texture Enhancer","Type of edible brown algae harvested in Europe and Ireland | Rich source of amino acids, antioxidants and minerals | Proven to help offset factor in skin that lead to decreased firmness | Considered safe as used in cosmetics","Alaria esculenta extract is a type of edible brown seaweed (algae) that contains hydrating and replenishing amino acids, minerals (zinc, selenium, iron), and antioxidant compounds which help influence factors within skin in an effort to offset signs of aging. Applied to skin, it hydrates, soothes, and facilitates a firmer look and feel. Alaria esculenta extract is harvested from waters bordering Europe and Ireland. It typically found in blends with other ingredients such as glycols and triglycerides since these help make it more bioavailable to skin. The recommended usage level is 0.005%–1%, with 1% being advised when this algae is part of a blend (meaning the actual content of the algae itself is lower than 1%, but still considered effective)."
Albatrellus Confluens (Mushroom) Extract,Best,"Soothing, Anti-Aging","Soothing, Anti-Aging, Plant Extracts, Antioxidant","Source of antioxidants that promote youthful-looking skin | Has a pronounced soothing effect on skin | Excellent for sensitive, redness-prone, reactive skin | Another name for the edible Northern Truffle mushroom","Albatrellus confluens (mushroom) extract is an edible mushroom also known as Northern Truffle that’s native to Finland. It has a pronounced soothing effect on skin due to how it helps interrupt the irritation cascade that drives signs of sensitivity. In doing so, skin becomes visibly calmer, with diminished redness. As with other types of non-toxic mushrooms, Albatrellus confluens is also a very good source of antioxidants. Chief among them is grifolin, which has also demonstrated many beneficial effects when consumed as part of a healthy diet. This ingredient is typically part of a blend with other ingredients such as glycols or other carriers. Recommended usage levels of Albatrellus confluens (mushroom) extract in such blends are 1–3%."
Aleurites Moluccana Seed Oil,Best,"Hydration, Anti-Aging","Hydration, Anti-Aging, Emollient, Antioxidant, Plant Extracts","Also called candlenut or kukui nut oil | Rich in hydrating fatty acids | Contains anti-aging tocopherols | Imparts a rich, emollient feel to moisturizers","Aleurites moluccana seed oil is extracted from the seeds of a plant also called Aleurites molucannus and more commonly known as candlenut or kukui nut. Its use as a moisturizing ingredient in traditional medicine dates back thousands of years. Modern studies reinforce this use. Research shows Aleurites moluccana seed oil is a source of stearic, oleic, and linoleic acids, all fatty acids that boost skin’s hydration. It also contains antioxidants tocopherols (vitamin E derivatives) that fight the free-radical damage that leads to multiple signs of aging. Another bonus: it’s non-fragrant, meaning its risk of irritating skin is minimal. If you’re looking for another good plant -based oil to add to your skin care routine, it’s worth looking for Aleurites moluccana seed oil in the products you’re selecting. Fun fact: kukui nut oil is considered as rich and emollient as coconut oil or shea butter but feels lighter on skin since most of its fatty acids are unsaturated."
Algae,Best,"Anti-Aging, Hydration, Soothing","Anti-Aging, Hydration, Soothing, Antioxidant, Plant Extracts, Emollient",,"Algae are very simple, chlorophyll-containing organisms in a family that includes more than 20,000 different known species. In cosmetics, algae act as thickening agents, water-binding agents, and antioxidants. Some algae are also potential skin sensitizers. For example, the phycocyanin present in blue-green algae has been suspected of sensitization on the basis of patch tests. Other forms of algae, such as Irish moss and carrageenan, contain proteins, vitamin A, sugar, starch, vitamin B1, iron, sodium, phosphorus, magnesium, copper, and calcium. Most of these are beneficial for skin, as emollients, soothing agents, or antioxidants. New research shows forms of brown algae show promise for improving the appearance of aging skin. As a plant ingredient, all types of algae are prone to breaking down with routine exposure to air and light. Because of this, avoid anti-aging products with algae that are packaged in jars."
Algae Extract,Best,"Anti-Aging, Hydration, Soothing","Anti-Aging, Hydration, Soothing, Antioxidant, Plant Extracts, Emollient","Comes from algae, very simple, chlorophyll-containing organisms | Help thicken formulas | Can assist in hydrating skin | Helps defend skin against external agents","Algae extract comes from algae, which are very simple, chlorophyll-containing organisms in a family that includes more than 20,000 different known species. In cosmetics, algae act as thickening agents, water-binding agents, and antioxidants. Some algae are also potential skin sensitizers. For example, the phycocyanin present in blue-green algae has been suspected of sensitization on the basis of patch tests. Other forms of algae, such as Irish moss and carrageenan, contain proteins, vitamin A, sugar, starch, vitamin B1, iron, sodium, phosphorus, magnesium, copper, and calcium. Most of these are beneficial for skin, as emollients, soothing agents, or antioxidants. New research shows forms of brown algae show promise for improving the appearance of aging skin. As a plant ingredient, all types of algae are prone to breaking down with routine exposure to air and light. Because of this, avoid anti-aging products with algae that are packaged in jars."
Allantoin,Best,Soothing,"Soothing, Plant Extracts",Can soothe skin | Has skin moisturizing properties | Helps mitigate skin’s response to active ingredients | Occurs naturally in most organisms but can be produced synthetically | Used in concentrations up to 2% in cosmetics,"Allantoin is a byproduct of uric acid that can be extracted from urea and is the result of metabolic processes that occur in most organisms - among them animals (including humans) and bacteria. It can also be extracted from comfrey (taken from the roots and leaves) and is proven safe and effective because it does not contain the potentially irritating alkaloid compounds that occur in the comfrey plant. Despite the natural source of allantoin being safe, the type of allantoin used in skin care products is generally produced synthetically as this guarantees no impurities while sacrificing none of allantoin’s effectiveness. It serves as an effective soothing agent and has moisturizing properties, giving it value especially in products designed to treat sensitive or compromised skin. It can also help mitigate skin’s response to stronger active ingredients and is often included in formulas to help buffer any potential adverse effects. In cosmetics, it is used in concentrations up to 2%, but in clinical settings it can be used in greater amounts, where research has shown it can have an impact on healing. In the United States, it is FDA-approved as an over the counter (OTC) skin protectant in concentrations of 0.5-2%."
Allantoin Glycyrrhetinic Acid,Best,Soothing,"Soothing, Antioxidant, Plant Extracts","Power couple of skin soothers, one licorice-derived | Helps reduce signs and sensations of sensitivity | Deemed safe in the amounts used in cosmetics | Supplied as a white to yellowish powder","Allantoin glycyrrhetinic acid is, not surprisingly, a complex made from two long-proven soothing ingredients for skin, allantoin and glycyrrhetinic acid. They’re a power couple for helping reduce signs and sensations of sensitivity and are right at home in such products as facial cleansers, makeup removers and moisturizers. Both ingredients also have antioxidant benefits, helping curb environmental threats that prematurely age skin. The allantoin portion of this duo is synthetic while the licorice-derived compound, glycyrrhetinic acid, is plant-derived. This ingredient is supplied as a white to yellowish powder. Use levels are typically 0.001%–0.05%, a range that’s been deemed safe for use on skin."
